dataset,vectorizer,classifier,accuracy,precision,recall,f1
amazon,bow,nb,0.7896,0.7233741753063148,0.7675,0.744784085395439
amazon,bow,logreg,0.7966,0.7913455838767042,0.6675,0.7241659886086249
amazon,bow,svm,0.7966,0.7486090035407182,0.74,0.7442796077445311
amazon,bow,rf,0.7452,0.7009966777408638,0.633,0.6652653704676826
amazon,tfidf,nb,0.7944,0.814359637774903,0.6295,0.7100958826847151
amazon,tfidf,logreg,0.7018,0.893353941267388,0.289,0.43672081601813373
amazon,tfidf,svm,0.8168,0.8038116591928252,0.717,0.7579281183932347
amazon,tfidf,rf,0.7452,0.7009966777408638,0.633,0.6652653704676826
amazon,tfidf_bigram,nb,0.8026,0.8094074526573,0.6625,0.7286224910640637
amazon,tfidf_bigram,logreg,0.6978,0.8912,0.2785,0.42438095238095236
amazon,tfidf_bigram,svm,0.818,0.8061797752808989,0.7175,0.7592592592592593
amazon,tfidf_bigram,rf,0.7342,0.7182823682498374,0.552,0.6242578456318915
imdb,bow,nb,0.835,0.836886564762671,0.8322,0.8345367027677497
imdb,bow,logreg,0.8767,0.8727488620621413,0.882,0.8773500447627574
imdb,bow,svm,0.8622,0.8400300413067968,0.8948,0.8665504551617277
imdb,bow,rf,0.7549,0.6905936892477942,0.9236,0.7902797980662274
imdb,tfidf,nb,0.846,0.8409538825384312,0.8534,0.8471312289060949
imdb,tfidf,logreg,0.8342,0.8156403475632792,0.8636,0.8389353021177385
imdb,tfidf,svm,0.8706,0.8981521272024066,0.836,0.8659622954215869
imdb,tfidf,rf,0.7549,0.6905936892477942,0.9236,0.7902797980662274
imdb,tfidf_bigram,nb,0.8452,0.837109375,0.8572,0.8470355731225296
imdb,tfidf_bigram,logreg,0.8349,0.8163612318156055,0.8642,0.8395997279704653
imdb,tfidf_bigram,svm,0.871,0.89995687796464,0.8348,0.8661548039012243
imdb,tfidf_bigram,rf,0.744,0.6772225450319581,0.9324,0.7845843150454392
twitter,bow,nb,0.741169069969999,0.7494007191370355,0.7254181572077734,0.7372144436256448
twitter,bow,logreg,0.7439917416690861,0.7261361262793543,0.7842663314963422,0.7540826128722382
twitter,bow,svm,0.7482015548888674,0.7473846351325332,0.7505881594637275,0.7489829718126417
twitter,bow,rf,0.6229717087647989,0.5770299102290568,0.9239098907473654,0.7103864405099677
twitter,tfidf,nb,0.7399432239749669,0.7468044241340486,0.7268039575880628,0.7366684632596731
twitter,tfidf,logreg,0.7336849575792768,0.7268579286205388,0.7495568661574656,0.7380329065321212
twitter,tfidf,svm,0.7503951740378721,0.7493747194253831,0.7531663927293822,0.751265771919955
twitter,tfidf,rf,0.6229717087647989,0.5770299102290568,0.9239098907473654,0.7103864405099677
twitter,tfidf_bigram,nb,0.7373947546695054,0.7445446706904557,0.7235489380901737,0.7338966706438063
twitter,tfidf_bigram,logreg,0.7327817026355689,0.7257148208265701,0.7492668149150794,0.7373027828430984
twitter,tfidf_bigram,svm,0.7471531339720636,0.7487443699167233,0.7446904508685424,0.7467119082242689
twitter,tfidf_bigram,rf,0.64255298558018,0.7524481894784787,0.4259241354861581,0.5439466589838042
